review_priority_rank,exercise_id,review_status,score,candidate_image_count,candidate_flags
610,Band_Good_Morning,pending,40.085449,0,['possible_scale_variation']
611,Dumbbell_Step_Ups,pending,40.085449,3,"['possible_position_variation', 'possible_precropped_flat_boundary']"
612,Band_Assisted_Pull-Up,pending,40.079346,0,"['near_duplicate_frames', 'possible_scale_variation']"
613,Clean_Shrug,pending,40.079346,0,['near_duplicate_frames']
614,Cable_Incline_Triceps_Extension,pending,40.073242,0,['near_duplicate_frames']
615,Calf_Press,pending,40.073242,0,['near_duplicate_frames']
616,Dumbbell_Lying_Supination,pending,40.073242,8,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
617,Alternating_Kettlebell_Row,pending,40.067139,0,['near_duplicate_frames']
618,Calf-Machine_Shoulder_Shrug,pending,40.067139,2,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
619,Good_Morning_off_Pins,pending,40.067139,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
620,Band_Pull_Apart,pending,40.061035,0,['near_duplicate_frames']
621,Crunch_-_Legs_On_Exercise_Ball,pending,40.061035,3,"['possible_position_variation', 'possible_precropped_flat_boundary']"
622,Kneeling_Hip_Flexor,pending,40.061035,1,"['possible_position_variation', 'possible_precropped_flat_boundary']"
623,Lateral_Box_Jump,pending,40.061035,0,['possible_position_variation']
624,Alternate_Hammer_Curl,pending,40.054932,0,['near_duplicate_frames']
625,Alternating_Cable_Shoulder_Press,pending,40.0,0,['near_duplicate_frames']
626,Alternating_Floor_Press,pending,40.0,1,"['exact_duplicate_frames', 'possible_precropped_flat_boundary']"
627,Alternating_Kettlebell_Press,pending,40.0,0,['near_duplicate_frames']
628,Balance_Board,pending,40.0,0,['near_duplicate_frames']
629,Band_Hip_Adductions,pending,40.0,6,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
630,Bicycling,pending,40.0,2,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
631,Bicycling_Stationary,pending,40.0,0,['near_duplicate_frames']
632,Butterfly,pending,40.0,3,"['possible_position_variation', 'possible_precropped_flat_boundary']"
633,Calf_Raise_On_A_Dumbbell,pending,40.0,0,['near_duplicate_frames']
634,Childs_Pose,pending,40.0,0,['near_duplicate_frames']
635,Crossover_Reverse_Lunge,pending,40.0,3,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
636,Depth_Jump_Leap,pending,40.0,1,"['possible_position_variation', 'possible_precropped_flat_boundary']"
637,Donkey_Calf_Raises,pending,40.0,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
638,Elliptical_Trainer,pending,40.0,0,['near_duplicate_frames']
639,Fast_Skipping,pending,40.0,3,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
640,Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists,pending,40.0,0,['near_duplicate_frames']
